Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
3977078013600312321,0.20118472208527047,0.20118472208527044,0.5017199831141251,1.3849520535874904e-76,0.40670295795894273,1638.0,5018.0,0.25166588956561803,66.0
3977116548751698176,0.15354294963417367,0.1535429496341737,0.30292810169779194,9.186101752390059e-65,0.3498427742987199,456.0,1624.0,0.18001852006822588,140.0
3977234346014419201,0.17516012547563883,0.1751601254756388,0.3874375766716134,5.461102790501832e-78,0.49537026950478225,33.0,83.0,0.22336261129640228,99.0
3978449781300392193,0.21619801856365284,0.21619801856365287,0.4038446978906562,5.461102800785048e-78,0.5466841347750673,344.0,784.0,0.254346263265647,59.0
3981810242465907713,0.18001136014672706,0.18001136014672703,0.3785297691985553,1.88691789117999e-75,0.14239214673211056,12.0,105.0,0.18895141659362202,136.0
3983074113875692800,0.17513092048206838,0.17513092048206835,0.3585058686068019,5.461098645363958e-78,0.40565204592287313,14.0,43.0,0.20858838457878529,118.0
3986814617275053313,0.3400789741937344,0.3400789741937344,0.629568552748269,5.461102800785048e-78,0.9745889052500252,2780.0,3554.0,0.41041603688121026,4.0
3987739404272887297,0.29416243077969506,0.29416243077969506,0.39028802603500434,7.544721274862966e-54,0.2844018352188663,1381.0,6050.0,0.26828712565771984,34.0
3988071780777702657,0.18698264878813967,0.18698264878813967,0.36053944283145345,6.267779893511579e-78,0.4649387181032751,890.0,2385.0,0.22144221721009502,101.0
3988187872032603905,0.17720491460732912,0.1772049146073291,0.38866666958905355,5.461102800943628e-78,0.4069851902945991,1711.0,5238.0,0.21589455598130164,111.0
3988205565930333696,0.1853165036035068,0.18531650360350677,0.3355934190275143,1.1241649225693966e-70,0.47352105399121674,141.0,371.0,0.21639486618655326,110.0
3991414786174551297,0.16758052934017034,0.16758052934017031,0.30747392873265017,4.6442212138585783e-76,0.37257752219696133,93.0,311.0,0.19092182910331984,135.0
